IIDx	IID	KE_correct	GB	KE	Family	Name_number
S55	12	Dubai	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Algefli	Name 11
S489	2	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Algefli	Name 11
128	S98	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhajeri	Name 20  
391	S95	Sharjah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhajeri	Name 20  
695	S94	Fujairah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhajeri	Name 20  
850	S93	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhajeri	Name 20  
987	S92	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhajeri	Name 20  
1148	S90	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhajeri	Name 20  
2767	S88	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhajeri	Name 20  
3034	S82	Fujairah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhajeri	Name 20  
3064	S80	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhajeri	Name 20  
3398	S79	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhajeri	Name 20  
3526	S77	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhajeri	Name 20  
3602	S75	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhajeri	Name 20  
4050	S7	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhajeri	Name 20  
FG47	S69	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhajeri	Name 20  
FG57	S66	Dubai	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhajeri	Name 20  
FG59	S62	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhajeri	Name 20  
S58	S59	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhajeri	Name 20  
S194	S58	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhajeri	Name 20  
S284	S57	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhajeri	Name 20  
S497	S56	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhajeri	Name 20  
144	1685	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhameli	Name 19a
157	1676	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhameli	Name 19a
1445	1674	Ajman	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhameli	Name 19a
1494	1673	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhameli	Name 19a
1597	1671	Ajman	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhameli	Name 19a
1716	1666	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhameli	Name 19a
1990	1661	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhameli	Name 19a
2673	1660	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhameli	Name 19a
2999	1659	Dubai	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhameli	Name 19a
3659	1658	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhameli	Name 19a
3703	1657	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhameli	Name 19a
3978	1655	Umm Al Quwain	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhameli	Name 19a
4026	1654	Ajman	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhameli	Name 19a
FG25	1647	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhameli	Name 19a
S168	1646	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhameli	Name 19a
S170	1644	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhameli	Name 19a
S317	1643	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhameli	Name 19a
S363	1642	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhameli	Name 19a
S459	1631	Sharjah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhameli	Name 19a
84	1540	Abu Dhabi	Sharjah_Emirati	Sharjah_Emirati	Alhammoudi	Name 17
503	1539	Ajman	Sharjah_Emirati	Sharjah_Emirati	Alhammoudi	Name 17
777	1521	Ras Al Khaimah	Sharjah_Emirati	Sharjah_Emirati	Alhammoudi	Name 17
813	1517	Abu Dhabi	Sharjah_Emirati	Sharjah_Emirati	Alhammoudi	Name 17
860	1510	Abu Dhabi	Sharjah_Emirati	Sharjah_Emirati	Alhammoudi	Name 17
1814	1499	Abu Dhabi	Sharjah_Emirati	Sharjah_Emirati	Alhammoudi	Name 17
2037	1497	Sharjah	Sharjah_Emirati	Sharjah_Emirati	Alhammoudi	Name 17
3434	1494	Abu Dhabi	Sharjah_Emirati	Sharjah_Emirati	Alhammoudi	Name 17
3684	1492	Abu Dhabi	Sharjah_Emirati	Sharjah_Emirati	Alhammoudi	Name 17
3983	1489	Ras Al Khaimah	Sharjah_Emirati	Sharjah_Emirati	Alhammoudi	Name 17
4021	1477	Ras Al Khaimah	Sharjah_Emirati	Sharjah_Emirati	Alhammoudi	Name 17
4256	1464	Abu Dhabi	Sharjah_Emirati	Sharjah_Emirati	Alhammoudi	Name 17
4273	1463	Abu Dhabi	Sharjah_Emirati	Sharjah_Emirati	Alhammoudi	Name 17
FG137	1458	Abu Dhabi	Sharjah_Emirati	Sharjah_Emirati	Alhammoudi	Name 17
