Recipient Egypt Ethiopia Kazakhstan Russia Azerbaijan Armenia Iran Bosnia-Herzegovina Ukraine Kyrgyzstan Tajikistan Belarus Georgia Jordan Poland Israel India Moldova Hungary Latvia Lithuania Estonia Lebanon Albania Uzbekistan Bangladesh Nepal IBS_Spain PJL_Pakistan GWD_Gambia ESN_Nigeria BEB_Bengal MSL_Sierra_Leone STU_Sri_Lanka ITU_India YRI_Nigeria LWK_Kenya TSI_Italy GIH_India
180 1067.27998 673.912355 35.676651 223.23676 16.105211 106.442416 50.375651 51.477966 72.067622 14.131853 68.47655 24.967971 52.025331 24.161117 22.628658 103.933583 95.221932 12.53405 5.099523 15.539997 17.88625 32.104231 9.056441 26.565834 35.444962 14.927653 6.553591 756.248727 561.289745 86.181896 75.779856 389.149388 48.798022 448.627688 455.952449 75.073029 131.691485 834.894339 503.897099
195 1373.21144 887.018084 30.648486 195.950277 16.072593 96.771484 50.077954 38.647983 68.521172 12.582384 54.284367 27.774401 45.900834 30.615443 22.349237 111.985673 58.577298 20.430449 7.014655 17.193533 17.705949 30.228739 13.459859 24.785654 29.399969 7.432839 5.063048 755.689054 363.650197 163.676423 120.48101 272.08839 102.847764 303.236444 316.544489 152.71836 192.698547 860.790412 347.292973
202 1651.75483 931.904851 25.959576 192.751048 13.991494 101.734031 61.25268 49.61618 59.20329 16.43276 50.219888 23.61119 37.940383 50.315624 26.685195 130.193491 65.964639 16.684599 5.150953 16.508709 15.538369 32.229185 12.340872 23.816884 30.683526 8.932654 7.493497 722.291333 395.57237 72.892339 46.036698 275.53341 45.075904 318.043101 338.087682 51.931206 90.991765 875.65952 354.392112
203 1578.64588 916.527826 33.415669 202.335311 14.80071 100.013008 57.153291 46.378857 54.892306 15.448501 53.700874 22.114357 53.819476 35.315626 25.679405 108.218074 71.555652 12.454435 6.363595 23.452048 18.358579 29.39274 9.760565 27.462172 34.918236 9.867189 6.256437 730.833045 391.811382 73.472661 51.297166 292.074481 41.484861 350.868453 353.110622 56.896155 124.113872 855.347474 355.806859
213 1661.33767 946.132649 21.269315 185.061934 19.433424 90.877665 80.20476 44.235434 56.922982 12.66958 48.824146 19.869249 35.20028 38.80173 20.476162 131.15783 55.320919 13.534641 4.46679 17.993145 17.049454 30.906586 10.237968 23.548861 31.938205 10.176178 6.6842 736.426634 373.128396 77.179398 63.922713 274.410051 49.369631 322.416622 337.532758 71.146148 122.061821 824.805831 358.686111
221 1144.78595 701.072049 29.363832 202.587954 16.775072 97.440915 44.414086 49.058646 60.094612 12.956216 69.00355 24.105798 43.641564 35.910571 30.031112 101.047605 87.698988 11.241209 5.579166 16.744408 24.573109 35.203675 7.976841 22.841617 38.328544 13.788083 8.484934 714.068448 507.166816 91.927209 82.500528 367.288587 64.533926 464.930385 471.286948 90.83589 165.626354 810.675526 479.827133
222 1619.33897 1037.65937 23.97009 185.822516 19.198744 104.110843 52.199066 46.444872 59.811931 13.556495 50.057496 22.466068 37.609405 35.861563 23.958917 155.136418 55.97172 13.061164 6.787502 14.79141 18.30405 30.780174 8.110902 21.760719 31.021165 10.050604 4.73047 762.478388 350.142614 85.337103 53.460219 252.921502 47.348837 319.020919 319.449395 61.302847 108.593853 849.841822 332.947719
231 1080.73217 786.754496 22.661627 173.207431 14.233839 74.77598 37.463214 49.621818 64.285344 13.883718 51.083514 26.163698 41.500515 22.822695 26.563963 74.99174 64.329499 16.257367 8.210783 20.890222 18.784235 38.641235 7.928488 20.476967 31.623445 10.638524 5.435861 796.100135 344.354733 284.039142 235.677379 251.8405 171.626831 307.080258 312.151304 245.717128 297.178799 853.879092 341.810166
233 1491.32822 900.582822 24.104857 215.805748 14.399199 100.066476 52.846565 45.941539 60.857072 11.647563 54.269938 22.937598 42.690258 39.648895 24.808152 118.843314 80.144712 15.333797 5.80439 13.578174 13.994347 36.24813 11.430503 24.283419 32.563573 8.559215 5.667633 730.322485 444.144382 72.502394 45.791046 300.677398 40.311294 354.126882 370.404158 54.170724 98.534533 862.115346 403.931115
244 372.690079 408.947348 14.227028 73.177544 4.385974 29.520854 17.94472 18.242917 27.385115 9.904327 25.183449 8.391805 13.636027 8.691277 8.275425 26.174563 42.801785 5.585435 2.255958 6.520249 7.681029 15.455262 3.129614 11.148744 13.617901 12.099467 4.825728 250.935714 242.601097 461.252599 828.191228 201.081523 422.171345 240.615091 244.994078 894.345158 1758.7105 278.07751 230.542413
253 1596.15528 885.505178 25.326917 207.82099 17.085806 100.038739 57.671887 44.822313 58.897158 10.54747 54.246318 22.969296 48.704662 43.236791 22.751195 117.167638 75.802739 14.408055 5.013621 19.820354 16.327445 27.84724 14.096326 23.111425 32.732227 12.865024 6.070101 721.526819 389.665347 79.489701 57.661958 287.137073 48.687943 328.109929 349.04991 69.652444 122.186252 866.701143 364.507146
268 709.77104 445.200377 31.396541 157.423295 17.020567 52.802881 41.522924 45.972216 45.720787 21.466316 61.123123 17.388586 26.656335 10.538687 15.086144 69.013438 147.255111 9.977084 4.380302 17.314534 15.256125 29.475653 5.005923 13.072104 37.206352 19.576286 11.19803 513.418737 702.674094 89.472391 75.809758 575.432973 54.888564 777.711107 789.896143 98.548384 213.104101 570.397286 706.243553
274 1583.82339 923.696142 24.488254 197.958674 14.122956 108.963067 62.336671 43.369205 58.384843 10.182351 49.259341 21.013848 41.736945 34.497909 21.556581 123.138141 73.988238 12.344323 5.84637 16.782812 16.475535 31.049258 17.371921 31.829983 35.60552 9.969648 7.645048 717.83164 398.302266 73.760738 51.590043 288.734067 43.849742 334.434385 341.439796 57.348902 123.080232 859.815811 377.793263
277 1599.14133 939.553135 26.354686 208.070098 18.336732 93.738214 68.652838 44.217798 59.521806 15.458678 52.177206 21.450782 48.254168 53.640515 25.243286 143.834239 60.638242 15.787285 4.325767 17.945766 16.016557 36.993467 15.399266 22.482066 30.588742 11.664856 8.366609 717.344238 383.480272 68.18267 46.366325 271.482268 41.56091 345.529196 330.813091 56.880028 100.193395 847.547095 378.184223
287 1582.52548 871.812631 23.024084 197.079876 19.427503 95.756948 55.26619 40.864004 61.852989 15.81354 63.170844 23.987231 44.223634 49.273619 25.288175 126.198791 73.807889 15.78639 3.87987 14.801512 16.659201 26.968377 10.804811 24.102223 41.190038 8.769414 5.954565 728.469647 386.163832 68.749579 48.682617 297.963348 46.983346 362.87267 374.173834 61.600396 126.520166 834.364195 370.584394
298 1494.70903 911.202196 21.778055 222.765347 14.24436 98.887535 56.639125 44.577882 60.10072 13.532321 56.055022 21.426017 45.274005 42.580749 27.295583 115.36786 71.15056 13.197075 5.127674 15.694212 14.43814 34.027906 10.483787 25.110419 25.010479 8.338364 5.180779 721.855417 434.149734 76.670167 61.226727 292.87223 50.939278 352.730604 380.484824 63.481278 126.685134 828.922017 381.205238
300 1550.50138 1010.40695 26.271715 200.685854 18.87494 103.240762 52.793799 54.284634 61.910756 13.790322 51.254145 23.967178 45.815823 39.163705 20.274484 114.557719 61.379141 13.574203 8.264201 16.895357 17.319909 27.920645 10.8369 23.901717 31.863916 9.439377 6.221854 761.04362 377.067531 80.373176 50.930794 269.850607 46.727802 317.502127 335.140128 62.507416 114.675084 840.260915 373.927281
306 553.691502 319.775609 27.370588 190.713289 16.085106 71.008844 47.139989 43.302045 58.870461 20.400555 65.484708 27.59758 36.798615 12.032776 24.361868 51.477556 121.940045 11.421542 5.298077 19.21108 17.477699 30.093129 6.47641 15.567774 47.85867 16.805102 10.797562 559.101978 744.5251 112.759914 185.625186 474.135033 90.470044 691.742228 701.89368 185.864323 309.776373 623.387662 697.078155
308 1298.74233 792.659289 28.447256 204.17157 15.601758 90.777143 59.145198 42.610803 61.139852 13.781212 54.052506 20.407977 35.595659 43.692799 23.153328 98.967578 73.61502 11.198654 4.441933 15.492204 15.575383 30.454352 8.635178 19.96437 34.263842 11.097958 6.449902 667.188583 429.617185 113.152556 133.062009 315.68234 80.601589 371.00965 378.202696 158.245729 308.763108 757.486085 418.271273
316 763.270346 551.50092 20.651076 164.51251 11.192999 68.793078 34.297667 30.331072 54.259742 15.320944 58.127432 21.723835 42.215537 18.328284 21.738571 69.694486 94.018278 10.042762 6.15507 12.952666 14.736138 33.708381 8.505911 18.17 31.962385 10.926841 7.13963 550.211753 502.285973 191.200991 308.906749 369.038734 148.993441 456.542255 459.582555 301.60876 646.216281 633.587225 482.966576
331 1267.90897 726.686366 31.439267 208.949468 20.165021 97.802417 47.466607 50.862454 64.254708 16.444459 52.503678 19.036051 38.572709 30.566503 27.780652 105.439772 76.575403 13.535077 6.979477 16.234009 16.420057 33.923678 7.266426 22.347057 39.16538 12.383468 7.444043 724.572563 480.384818 97.517279 93.000683 340.872314 63.429903 395.776959 412.87641 109.673381 194.130605 853.371662 421.658115
