Recipient Egypt Ethiopia Western_Asia Russian_Caucasus Caucasus Iran South_Eastern_Europe Eastern_Europe Levant South_Asia IBS_Spain PJL_Pakistan GWD_Gambia ESN_Nigeria BEB_Bengal MSL_Sierra_Leone STU_Sri_Lanka ITU_India YRI_Nigeria LWK_Kenya TSI_Italy GIH_India
244 372.690079 408.947348 62.932699 73.177544 47.542854 17.94472 34.977099 75.964837 37.995449 59.726979 250.935714 242.601097 461.252599 828.191228 201.081523 422.171345 240.615091 244.994078 894.345158 1758.7105 278.07751 230.542413
253 1596.15528 885.505178 122.852934 207.82099 165.829207 57.671887 82.341791 173.626313 174.500754 94.737864 721.526819 389.665347 79.489701 57.661958 287.137073 48.687943 328.109929 349.04991 69.652444 122.186252 866.701143 364.507146
268 709.77104 445.200377 151.19233 157.423295 96.479783 41.522924 69.021405 144.622134 84.558049 178.029427 513.418737 702.674094 89.472391 75.809758 575.432973 54.888564 777.711107 789.896143 98.548384 213.104101 570.397286 706.243553
274 1583.82339 923.696142 119.535468 197.958674 164.822966 62.336671 87.543507 171.109242 175.007973 91.602935 717.83164 398.302266 73.760738 51.590043 288.734067 43.849742 334.434385 341.439796 57.348902 123.080232 859.815811 377.793263
277 1599.14133 939.553135 124.579314 208.070098 160.329113 68.652838 82.487154 181.497436 212.874019 80.669706 717.344238 383.480272 68.18267 46.366325 271.482268 41.56091 345.529196 330.813091 56.880028 100.193395 847.547095 378.184223
287 1582.52548 871.812631 143.198508 197.079876 159.408083 55.26619 80.752616 173.437358 186.277223 88.531868 728.469647 386.163832 68.749579 48.682617 297.963348 46.983346 362.87267 374.173834 61.600396 126.520166 834.364195 370.584394
298 1494.70903 911.202196 116.375879 222.765347 158.405898 56.639125 82.885373 178.110251 168.432397 84.669705 721.855417 434.149734 76.670167 61.226727 292.87223 50.939278 352.730604 380.484824 63.481278 126.685134 828.922017 381.205238
300 1550.50138 1010.40695 123.180096 200.685854 167.931528 52.793799 91.760551 176.552534 164.558326 77.040375 761.04362 377.067531 80.373176 50.930794 269.850607 46.727802 317.502127 335.140128 62.507416 114.675084 840.260915 373.927281
306 553.691502 319.775609 161.114525 190.713289 123.892569 47.139989 70.291362 182.909894 69.986739 149.54271 559.101978 744.5251 112.759914 185.625186 474.135033 90.470044 691.742228 701.89368 185.864323 309.776373 623.387662 697.078155
308 1298.74233 792.659289 130.544814 204.17157 141.974564 59.145198 73.77383 170.665032 151.295553 91.162878 667.188583 429.617185 113.152556 133.062009 315.68234 80.601589 371.00965 378.202696 158.245729 308.763108 757.486085 418.271273
316 763.270346 551.50092 126.061833 164.51251 122.201614 34.297667 58.543833 165.274408 96.528683 112.084743 550.211753 502.285973 191.200991 308.906749 369.038734 148.993441 456.542255 459.582555 301.60876 646.216281 633.587225 482.966576
331 1267.90897 726.686366 139.55278 208.949468 156.540149 47.466607 86.744591 184.628632 143.272701 96.402913 724.572563 480.384818 97.517279 93.000683 340.872314 63.429903 395.776959 412.87641 109.673381 194.130605 853.371662 421.658115
350 1169.73621 708.975459 122.292593 219.195825 163.396046 48.151545 82.897414 196.852634 149.261835 95.355964 739.893673 514.656685 86.054614 81.658316 369.162403 57.37521 431.57205 433.00701 80.836137 150.171577 869.194613 475.720047
380 816.819003 448.115876 167.6203 224.705834 157.300952 43.590614 91.955153 211.570763 106.413279 143.768434 776.192564 665.83311 66.893906 60.833832 456.64104 46.371564 532.949365 598.53997 69.14006 101.580016 813.611862 644.970364
384 1384.36296 861.725266 124.238281 195.499192 145.877084 44.960592 78.523632 176.897462 148.428556 83.169573 764.141383 372.324168 169.746833 139.426304 259.648634 105.41274 317.126856 318.278436 148.712752 203.045774 862.789596 341.081788
391 1620.81642 987.212437 133.68456 188.385456 166.315111 61.440017 84.058621 167.617229 174.68855 69.36155 752.033503 405.55792 79.272379 48.536842 267.93241 41.885288 312.283304 329.405913 51.688096 104.622694 855.341246 343.278312
394 1159.63247 722.62843 145.484451 220.049612 157.594786 44.86267 82.895505 188.040914 153.206676 102.093754 745.574964 491.529499 79.852992 95.410412 343.308654 58.911901 422.20993 419.369023 99.093123 192.178469 864.470542 457.019081
397 1561.352 854.687186 141.383856 202.968595 149.436536 66.812792 91.093875 179.033934 187.789891 87.677836 741.337306 407.838401 74.319688 58.323747 297.356003 41.349537 351.885712 380.504387 63.148607 109.216058 810.852183 387.049733
415 1383.56332 805.908435 137.376973 217.899531 155.613274 60.317641 76.220265 179.72424 153.305553 95.210953 705.276471 480.156364 80.550976 55.896783 332.349917 47.427307 392.798515 415.166988 66.451951 132.01372 826.974891 445.213802
416 1532.06388 871.917841 118.954319 203.222726 151.342852 65.931756 91.713653 161.784084 167.460519 85.647528 741.366013 417.334473 76.919904 57.437613 291.793652 49.350393 353.746782 361.961918 70.006451 122.057483 857.776754 395.627262
417 1628.86709 948.46193 113.278899 195.741552 162.068419 47.142588 79.38728 176.183254 167.435093 80.049324 725.327563 388.044383 75.47304 57.00929 270.333128 50.111124 342.788252 339.826997 62.118717 105.216753 858.170261 372.382937
437 1540.51453 890.371019 134.577873 213.356759 149.699763 45.940969 90.226265 184.58804 174.433398 84.288635 743.524971 397.815547 83.231301 63.245458 284.913082 44.411766 353.665782 356.047841 66.560508 112.888736 838.450415 392.665204
452 651.867008 548.742586 97.541601 121.889194 89.323519 43.169225 56.719775 115.448652 82.732433 83.39441 443.92359 385.200423 276.949528 495.892797 285.674823 262.353436 378.65405 382.391035 517.951102 1051.31833 488.351266 385.929089
475 1588.22625 905.987645 125.079897 203.767813 162.985957 50.113997 79.309532 194.776118 185.804148 74.363678 738.288802 384.506352 78.787006 57.395194 289.433888 44.870265 321.889006 346.090133 60.344801 130.316203 860.805691 362.275491
482 830.646334 461.484787 172.699147 217.22585 152.723321 42.42725 83.239472 213.126176 105.98835 141.177396 769.436187 650.618604 67.66968 63.264863 466.426199 44.668204 557.947697 586.551789 64.859545 111.72475 827.074517 614.437741
495 879.361291 501.147237 126.092542 160.404135 107.995126 39.038381 58.511047 144.191239 101.134548 167.374679 538.621718 623.766402 64.470643 46.737457 570.207057 35.441483 801.016159 917.114546 46.744839 67.716743 594.654475 653.676115
498 861.234874 624.000036 107.636835 160.237772 115.495861 31.429167 62.468723 127.89771 92.622891 78.591383 504.918651 347.819783 246.015328 447.542099 261.141049 235.054363 311.141479 326.49169 442.2642 945.401455 582.028158 333.984357
513 1276.37962 723.915792 128.498174 212.456382 161.15296 57.454586 76.412339 189.255616 153.68228 95.462218 733.515911 482.835226 76.086048 82.912344 348.311819 48.096616 418.434195 436.024611 78.236474 161.753528 833.892707 470.648424
521 649.777993 678.308138 74.271996 96.409651 69.364291 21.686121 38.479262 92.565069 62.173702 60.930327 367.837702 270.334271 358.458408 620.034255 207.658542 324.189444 241.053674 233.896783 706.21224 1439.14508 385.779924 246.850989
525 1639.16727 906.362019 118.797592 206.46594 163.381587 56.751298 93.382781 176.604026 186.651568 88.448579 730.280713 402.162049 75.44309 49.646401 278.451845 42.763598 333.369485 336.227108 59.241381 115.945338 831.193132 354.681055
536 1125.49094 667.32509 141.866497 208.491141 152.532872 40.634236 87.427305 194.166692 121.866138 106.955226 728.107725 489.518506 93.262269 110.406783 364.955598 65.880553 463.379231 458.74457 103.711693 205.564871 846.902715 468.227216
548 1591.34695 1047.45847 124.454032 194.129635 152.13826 57.335911 85.348995 165.71852 184.148396 72.040519 736.480609 365.753343 81.14308 59.567802 250.513254 50.844227 304.513601 333.889259 70.153891 135.861696 846.460237 336.117161
569 1098.15585 674.863067 132.183234 200.321115 156.758824 42.04804 83.411482 179.100001 117.018505 95.708401 665.931987 452.359304 117.591969 176.815719 344.365963 100.971064 408.743199 418.516549 181.860037 360.8728 782.330985 455.489759
571 1589.77951 907.208365 133.273377 181.377892 152.193965 66.959345 81.758797 178.399194 187.868181 81.973295 726.448005 399.543909 84.764458 57.111936 288.32237 51.518176 346.933993 335.237325 72.012518 125.329959 822.67314 374.730159
597 1182.90833 706.25304 125.908297 196.999613 142.385259 56.346952 73.816719 164.117267 139.263836 102.532599 675.150449 476.282932 117.749524 163.042279 354.223303 91.782401 404.37623 402.523579 183.535315 300.671567 766.676233 418.872134
612 1023.6448 564.595524 153.914296 199.976486 152.477434 39.483545 85.999041 202.423567 115.108477 123.063219 701.767035 559.924876 85.768048 94.911095 410.957426 66.896825 508.101647 503.705003 108.544228 201.10277 799.953604 543.098912
616 975.030761 633.415859 145.646983 194.840457 136.59267 49.399709 75.274112 173.225476 127.884068 102.311914 654.478906 483.106892 135.399405 190.534645 351.61366 105.470709 433.831016 424.830096 210.518585 436.520315 753.756998 451.734626
618 1657.28941 980.502084 115.490754 202.208176 152.987119 49.509018 89.848497 167.011214 209.67043 77.938622 722.185982 379.9009 66.940053 48.777497 266.953177 40.737221 323.678161 326.736039 53.18171 112.949897 838.413436 362.508467
634 690.96387 400.44999 145.89702 178.187319 125.454514 32.754308 77.766312 180.867784 100.229634 148.819642 586.858716 740.737133 64.00315 48.060129 581.435912 39.773749 771.886385 778.302221 59.179667 92.140286 650.524771 751.12535
666 1548.23502 893.307715 134.334059 205.319208 160.191142 55.032983 93.156903 179.517062 169.252643 98.92005 727.686937 414.724679 69.889013 51.780364 285.262031 40.785298 346.275873 372.170558 58.689228 112.580088 831.695581 396.611422
678 857.611226 439.686171 155.760987 216.012347 134.545312 43.190819 87.865857 208.840752 105.868256 132.823922 692.863222 646.605615 94.092262 111.081065 422.191082 70.343917 578.197232 568.398942 109.812999 184.567711 799.745796 585.312374
